codigo,nome,preco,estoque
P00001,Produto1,655.0,981
P00002,Produto2,845.01,778
P00003,Produto3,397.33,431
P00004,Produto4,541.39,865
P00005,Produto5,870.42,273
P00006,Produto6,197.33,751
P00007,Produto7,628.17,975
P00008,Produto8,185.26,816
P00009,Produto9,615.63,555
P00010,Produto10,324.2,813
P00011,Produto11,893.42,658
P00012,Produto12,246.4,628
P00013,Produto13,373.09,438
P00014,Produto14,395.96,182
P00015,Produto15,542.9,517
P00016,Produto16,874.93,473
P00017,Produto17,147.89,542
P00018,Produto18,24.82,179
P00019,Produto19,794.17,531
P00020,Produto20,916.28,95
P00021,Produto21,42.71,503
P00022,Produto22,235.69,361
P00023,Produto23,334.26,546
P00024,Produto24,549.17,260
P00025,Produto25,500.61,409
P00026,Produto26,199.98,668
P00027,Produto27,239.62,969
P00028,Produto28,490.75,362
P00029,Produto29,786.21,998
P00030,Produto30,488.53,480
P00031,Produto31,866.24,852
P00032,Produto32,366.32,706
P00033,Produto33,461.93,27
P00034,Produto34,69.83,208
P00035,Produto35,338.81,507
P00036,Produto36,704.27,353
P00037,Produto37,775.59,971
P00038,Produto38,205.48,580
P00039,Produto39,15.65,769
P00040,Produto40,880.73,642
P00041,Produto41,411.07,102
P00042,Produto42,756.74,811
P00043,Produto43,204.66,352
P00044,Produto44,957.09,251
P00045,Produto45,232.1,197
P00046,Produto46,56.92,391
P00047,Produto47,47.51,504
P00048,Produto48,3.26,979
P00049,Produto49,187.93,847
P00050,Produto50,309.06,731
P00051,Produto51,830.33,150
P00052,Produto52,837.74,431
P00053,Produto53,128.21,808
P00054,Produto54,530.97,557
P00055,Produto55,810.6,560
P00056,Produto56,142.81,464
P00057,Produto57,49.57,152
P00058,Produto58,207.34,973
P00059,Produto59,393.22,102
P00060,Produto60,642.2,432
P00061,Produto61,804.18,770
P00062,Produto62,860.8,107
P00063,Produto63,806.27,516
P00064,Produto64,29.9,585
P00065,Produto65,930.55,778
P00066,Produto66,461.48,283
P00067,Produto67,272.4,577
P00068,Produto68,145.45,185
P00069,Produto69,168.35,761
P00070,Produto70,39.74,870
P00071,Produto71,138.89,685
P00072,Produto72,517.19,776
P00073,Produto73,44.02,442
P00074,Produto74,133.24,47
P00075,Produto75,143.19,434
P00076,Produto76,834.59,950
P00077,Produto77,282.89,240
P00078,Produto78,81.0,163
P00079,Produto79,908.76,29
P00080,Produto80,552.96,333
P00081,Produto81,257.12,570
P00082,Produto82,426.85,385
P00083,Produto83,356.28,521
P00084,Produto84,637.02,821
P00085,Produto85,744.25,741
